CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
62-53-3,1.022,100,DCM,400,90/10,10,2024-11-26_14-51-52,NH2,286,1402,C1=CC=C(C=C1)N,286,1402
62-53-3,1.022,100,DCM,400,80/20,10,2024-11-26_15-39-15,NH2,2324,2319,C1=CC=C(C=C1)N,2324,2319
62-53-3,1.022,100,DCM,400,70/30,10,2024-11-26_15-43-22,NH2,455,1443,C1=CC=C(C=C1)N,455,1443
62-53-3,1.022,100,DCM,400,60/40,10,2024-11-26_15-48-04,NH2,451,1791,C1=CC=C(C=C1)N,451,1791
62-53-3,1.022,100,DCM,400,50/50,10,2024-11-26_15-57-23,NH2,393,4507,C1=CC=C(C=C1)N,393,4507
93-98-1,1.315,100,DCM,400,90/10,10,2024-11-26_16-12-28,NH2,265,1110,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,265,1110
93-98-1,1.315,100,DCM,400,80/20,10,2024-11-26_16-43-03,NH2,-1,-1,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,-1,-1
93-98-1,1.315,100,DCM,400,70/30,10,2024-11-26_16-47-05,NH2,267,1341,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,267,1341
93-98-1,1.315,100,DCM,400,60/40,10,2024-11-26_17-17-39,NH2,-1,-1,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,-1,-1
93-98-1,1.315,100,DCM,400,50/50,10,2024-11-26_17-21-46,NH2,220,1385,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,220,1385
89-86-1,1.3725,100,DCM,400,90/10,10,2024-11-26_18-02-05,NH2,278,710,C1=CC(=C(C=C1O)O)C(=O)O  ,278,710
89-86-1,1.3725,100,DCM,400,80/20,10,2024-11-26_18-07-07,NH2,463,1967,C1=CC(=C(C=C1O)O)C(=O)O  ,463,1967
89-86-1,1.3725,100,DCM,400,70/30,10,2024-11-26_18-11-54,NH2,458,1847,C1=CC(=C(C=C1O)O)C(=O)O  ,458,1847
89-86-1,1.3725,100,DCM,400,60/40,10,2024-11-26_18-21-33,NH2,449,4704,C1=CC(=C(C=C1O)O)C(=O)O  ,449,4704
89-86-1,1.3725,100,DCM,400,50/50,10,2024-11-26_18-34-12,NH2,414,5803,C1=CC(=C(C=C1O)O)C(=O)O  ,414,5803
123-31-9,1.32,100,DCM,400,90/10,10,2024-11-26_19-53-31,NH2,255,1264,C1=CC(=CC=C1O)O,255,1264
123-31-9,1.32,100,DCM,400,80/20,10,2024-11-26_19-57-13,NH2,486,1159,C1=CC(=CC=C1O)O,486,1159
123-31-9,1.32,100,DCM,400,70/30,10,2024-11-26_20-01-00,NH2,485,1218,C1=CC(=CC=C1O)O,485,1218
123-31-9,1.32,100,DCM,400,60/40,10,2024-11-26_20-16-42,NH2,256,929,C1=CC(=CC=C1O)O,256,929
123-31-9,1.32,100,DCM,400,50/50,10,2024-11-26_20-20-28,NH2,433,1247,C1=CC(=CC=C1O)O,433,1247
92-52-4,0.992,100,DCM,400,90/10,10,2024-11-26_20-26-20,NH2,295,836,C1=CC=C(C=C1)C2=CC=CC=C2,295,836
92-52-4,0.992,100,DCM,400,80/20,10,2024-11-26_20-29-52,NH2,488,1082,C1=CC=C(C=C1)C2=CC=CC=C2,488,1082
92-52-4,0.992,100,DCM,400,70/30,10,2024-11-26_20-34-59,NH2,484,2016,C1=CC=C(C=C1)C2=CC=CC=C2,484,2016
92-52-4,0.992,100,DCM,400,60/40,10,2024-11-26_20-40-51,NH2,480,2480,C1=CC=C(C=C1)C2=CC=CC=C2,480,2480
92-52-4,0.992,100,DCM,400,50/50,10,2024-11-26_20-44-13,NH2,484,976,C1=CC=C(C=C1)C2=CC=CC=C2,484,976
941-98-0,1.12,100,DCM,400,90/10,10,2024-11-27_19-26-21,NH2,556,932,CC(=O)C1=CC=CC2=CC=CC=C21,556,932
941-98-0,1.12,100,DCM,400,80/20,10,2024-11-27_19-29-43,NH2,552,953,CC(=O)C1=CC=CC2=CC=CC=C21,552,953
941-98-0,1.12,100,DCM,400,70/30,10,2024-11-27_19-33-10,NH2,554,1022,CC(=O)C1=CC=CC2=CC=CC=C21,554,1022
941-98-0,1.12,100,DCM,400,60/40,10,2024-11-27_19-36-41,NH2,562,1058,CC(=O)C1=CC=CC2=CC=CC=C21,562,1058
941-98-0,1.12,100,DCM,400,50/50,10,2024-11-27_19-40-23,NH2,552,1156,CC(=O)C1=CC=CC2=CC=CC=C21,552,1156
103-36-6,1.049,100,DCM,400,90/10,10,2024-11-27_20-00-34,NH2,285,2204,CCOC(=O)/C=C/C1=CC=CC=C1,285,2204
103-36-6,1.049,100,DCM,400,80/20,10,2024-11-27_20-04-51,NH2,469,1545,CCOC(=O)/C=C/C1=CC=CC=C1,469,1545
103-36-6,1.049,100,DCM,400,70/30,10,2024-11-27_20-10-54,NH2,455,2578,CCOC(=O)/C=C/C1=CC=CC=C1,455,2578
103-36-6,1.049,100,DCM,400,60/40,10,2024-11-27_20-36-47,NH2,450,14385,CCOC(=O)/C=C/C1=CC=CC=C1,450,14385
98-80-6,1.13,100,MeOH,400,90/10,10,2024-11-27_20-42-32,NH2,307,650,B(C1=CC=CC=C1)(O)O,307,650
98-80-6,1.13,100,MeOH,400,80/20,10,2024-11-27_20-45-38,NH2,503,831,B(C1=CC=CC=C1)(O)O,503,831
609-06-3,1.525,100,H2O,400,90/10,10,2024-11-28_13-08-08,NH2,289,1280,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,289,1280
609-06-3,1.525,100,H2O,400,80/20,10,2024-11-28_13-21-57,NH2,2351,3021,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,2351,3021
637-59-2,1.31,100,DCM,400,90/10,10,2024-11-29_15-47-40,NH2,316,690,C1=CC=C(C=C1)CCCBr,316,690
637-59-2,1.31,100,DCM,400,80/20,10,2024-11-29_15-50-56,NH2,492,911,C1=CC=C(C=C1)CCCBr,492,911
637-59-2,1.31,100,DCM,400,70/30,10,2024-11-29_15-54-28,NH2,502,1055,C1=CC=C(C=C1)CCCBr,502,1055
637-59-2,1.31,100,DCM,400,60/40,10,2024-11-29_16-00-15,NH2,462,2410,C1=CC=C(C=C1)CCCBr,462,2410
637-59-2,1.31,100,DCM,400,50/50,10,2024-11-29_16-10-19,NH2,516,4956,C1=CC=C(C=C1)CCCBr,516,4956
122-97-4,1.001,100,DCM,400,90/10,10,2024-11-29_16-13-35,NH2,306,555,C1=CC=C(C=C1)CCCO,306,555
122-97-4,1.001,100,DCM,400,80/20,10,2024-11-29_16-16-56,NH2,486,965,C1=CC=C(C=C1)CCCO,486,965
122-97-4,1.001,100,DCM,400,70/30,10,2024-11-29_16-20-08,NH2,483,859,C1=CC=C(C=C1)CCCO,483,859
122-97-4,1.001,100,DCM,400,60/40,10,2024-11-29_16-50-42,NH2,-1,-1,C1=CC=C(C=C1)CCCO,-1,-1
122-97-4,1.001,100,DCM,400,50/50,10,2024-11-29_16-53-24,NH2,257,590,C1=CC=C(C=C1)CCCO,257,590
26537-19-9,0.995,100,DCM,400,90/10,10,2024-11-29_17-21-28,NH2,299,706,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,299,706
26537-19-9,0.995,100,DCM,400,80/20,10,2024-11-29_17-24-55,NH2,498,1028,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,498,1028
26537-19-9,0.995,100,DCM,400,70/30,10,2024-11-29_17-28-22,NH2,494,1014,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,494,1014
26537-19-9,0.995,100,DCM,400,60/40,10,2024-11-29_17-31-43,NH2,476,995,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,476,995
26537-19-9,0.995,100,DCM,400,50/50,10,2024-11-29_17-36-10,NH2,446,1641,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,446,1641
624-48-6,1.152,100,DCM,400,90/10,10,2024-11-29_17-47-18,NH2,285,1400,COC(=O)/C=C\C(=O)OC  ,285,1400
624-48-6,1.152,100,DCM,400,80/20,10,2024-11-29_17-52-10,NH2,473,1853,COC(=O)/C=C\C(=O)OC  ,473,1853
624-48-6,1.152,100,DCM,400,70/30,10,2024-11-29_17-56-42,NH2,461,1699,COC(=O)/C=C\C(=O)OC  ,461,1699
624-48-6,1.152,100,DCM,400,60/40,10,2024-11-29_18-05-00,NH2,456,3927,COC(=O)/C=C\C(=O)OC  ,456,3927
624-48-6,1.152,100,DCM,400,50/50,10,2024-11-29_18-19-55,NH2,350,6711,COC(=O)/C=C\C(=O)OC  ,350,6711
626-34-6,1.022,100,DCM,400,90/10,10,2024-11-29_18-32-25,NH2,278,1227,CCOC(=O)/C=C(/C)\N,278,1227
626-34-6,1.022,100,DCM,400,80/20,10,2024-11-29_18-37-37,NH2,478,2054,CCOC(=O)/C=C(/C)\N,478,2054
626-34-6,1.022,100,DCM,400,70/30,10,2024-11-29_18-42-09,NH2,475,1658,CCOC(=O)/C=C(/C)\N,475,1658
626-34-6,1.022,100,DCM,400,60/40,10,2024-11-29_18-46-11,NH2,467,1363,CCOC(=O)/C=C(/C)\N,467,1363
626-34-6,1.022,100,DCM,400,50/50,10,2024-11-29_18-50-43,NH2,429,1659,CCOC(=O)/C=C(/C)\N,429,1659
15486-19-8,1.267,100,DCM,400,90/10,10,2024-11-29_19-14-10,NH2,374,610,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,374,610
15486-19-8,1.267,100,DCM,400,80/20,10,2024-11-29_19-44-44,NH2,598,685,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,598,685
66-99-9,1.6211,100,DCM,400,90/10,10,2024-11-29_20-01-14,NH2,492,1776,C1=CC=C2C=C(C=CC2=C1)C=O,492,1776
66-99-9,1.6211,100,DCM,400,80/20,10,2024-11-29_20-29-19,NH2,518,2887,C1=CC=C2C=C(C=CC2=C1)C=O,518,2887
1745-81-9,1.028,100,DCM,400,90/10,10,2024-11-30_13-37-21.xlsx,NH2,306,946,C=CCC1=CC=CC=C1O,306,946
1745-81-9,1.028,100,DCM,400,80/20,10,2024-11-30_13-56-42.xlsx,NH2,500,1413,C=CCC1=CC=CC=C1O,500,1413
1745-81-9,1.028,100,DCM,400,70/30,10,2024-11-30_14-03-10.xlsx,NH2,494,1918,C=CCC1=CC=CC=C1O,494,1918
1745-81-9,1.028,100,DCM,400,60/40,10,2024-11-30_14-06-57.xlsx,NH2,487,1241,C=CCC1=CC=CC=C1O,487,1241
1745-81-9,1.028,100,DCM,400,50/50,10,2024-11-30_14-10-38.xlsx,NH2,439,1181,C=CCC1=CC=CC=C1O,439,1181
1746-13-0,0.978,100,DCM,400,90/10,10,2024-11-30_14-23-15.xlsx,NH2,301,729,C=CCOC1=CC=CC=C1,301,729
1746-13-0,0.978,100,DCM,400,80/20,10,2024-11-30_14-44-47.xlsx,NH2,485,2054,C=CCOC1=CC=CC=C1,485,2054
1746-13-0,0.978,100,DCM,400,70/30,10,2024-11-30_14-52-40.xlsx,NH2,442,1641,C=CCOC1=CC=CC=C1,442,1641
1746-13-0,0.978,100,DCM,400,60/40,10,2024-11-30_14-58-02.xlsx,NH2,413,1940,C=CCOC1=CC=CC=C1,413,1940
1746-13-0,0.978,100,DCM,400,50/50,10,2024-11-30_15-04-31.xlsx,NH2,423,2837,C=CCOC1=CC=CC=C1,423,2837
123-11-5,1.121,100,DCM,400,90/10,10,2024-11-30_15-19-38.xlsx,NH2,297,5749,COC1=CC=C(C=C1)C=O,297,5749
123-11-5,1.121,100,DCM,400,80/20,10,2024-11-30_15-45-41.xlsx,NH2,487,14502,COC1=CC=C(C=C1)C=O,487,14502
123-11-5,1.121,100,DCM,400,70/30,10,2024-11-30_15-59-41.xlsx,NH2,489,7349,COC1=CC=C(C=C1)C=O,489,7349
577-16-2,1.026,100,DCM,400,90/10,10,2024-11-30_16-11-18.xlsx,NH2,285,1400,CC1=CC=CC=C1C(=O)C,285,1400
577-16-2,1.026,100,DCM,400,80/20,10,2024-11-30_16-21-56.xlsx,NH2,461,2352,CC1=CC=CC=C1C(=O)C,461,2352
577-16-2,1.026,100,DCM,400,70/30,10,2024-11-30_16-45-07.xlsx,NH2,282,1359,CC1=CC=CC=C1C(=O)C,282,1359
577-16-2,1.026,100,DCM,400,60/40,10,2024-11-30_16-49-29.xlsx,NH2,441,1590,CC1=CC=CC=C1C(=O)C,441,1590
577-16-2,1.026,100,DCM,400,50/50,10,2024-11-30_16-56-27.xlsx,NH2,428,3127,CC1=CC=CC=C1C(=O)C,428,3127
105-13-5,1.113,100,DCM,400,90/10,10,2024-11-30_17-03-30.xlsx,NH2,305,744,COC1=CC=C(C=C1)CO,305,744
105-13-5,1.113,100,DCM,400,80/20,10,2024-11-30_17-07-37.xlsx,NH2,500,1440,COC1=CC=C(C=C1)CO,500,1440
105-13-5,1.113,100,DCM,400,70/30,10,2024-11-30_17-10-59.xlsx,NH2,495,998,COC1=CC=C(C=C1)CO,495,998
105-13-5,1.113,100,DCM,400,60/40,10,2024-11-30_17-14-41.xlsx,NH2,487,1173,COC1=CC=C(C=C1)CO,487,1173
105-13-5,1.113,100,DCM,400,50/50,10,2024-11-30_17-18-18.xlsx,NH2,448,1137,COC1=CC=C(C=C1)CO,448,1137
94-02-0,1.11,100,DCM,400,90/10,10,2024-11-30_17-22-42.xlsx,NH2,478,1456,CCOC(=O)CC(=O)C1=CC=CC=C1,478,1456
94-02-0,1.11,100,DCM,400,80/20,10,2024-11-30_17-28-05.xlsx,NH2,475,2164,CCOC(=O)CC(=O)C1=CC=CC=C1,475,2164
94-02-0,1.11,100,DCM,400,70/30,10,2024-11-30_17-32-42.xlsx,NH2,474,1721,CCOC(=O)CC(=O)C1=CC=CC=C1,474,1721
94-02-0,1.11,100,DCM,400,60/40,10,2024-11-30_17-38-14.xlsx,NH2,448,2270,CCOC(=O)CC(=O)C1=CC=CC=C1,448,2270
94-02-0,1.11,100,DCM,400,50/50,10,2024-11-30_17-49-38.xlsx,NH2,432,5760,CCOC(=O)CC(=O)C1=CC=CC=C1,432,5760
515-40-2,1.047,100,DCM,400,90/10,10,2024-11-30_17-53-55.xlsx,NH2,291,817,CC(C)(CCl)C1=CC=CC=C1,291,817
515-40-2,1.047,100,DCM,400,80/20,10,2024-11-30_17-57-01.xlsx,NH2,507,828,CC(C)(CCl)C1=CC=CC=C1,507,828
515-40-2,1.047,100,DCM,400,70/30,10,2024-11-30_18-00-43.xlsx,NH2,492,1156,CC(C)(CCl)C1=CC=CC=C1,492,1156
515-40-2,1.047,100,DCM,400,60/40,10,2024-11-30_18-05-25.xlsx,NH2,504,1758,CC(C)(CCl)C1=CC=CC=C1,504,1758
515-40-2,1.047,100,DCM,400,50/50,10,2024-11-30_18-13-48.xlsx,NH2,459,3979,CC(C)(CCl)C1=CC=CC=C1,459,3979
51934-41-9,1.641,100,DCM,400,90/10,10,2024-11-30_18-31-59.xlsx,NH2,277,1936,CCOC(=O)C1=CC=C(C=C1)I,277,1936
51934-41-9,1.641,100,DCM,400,80/20,10,2024-11-30_18-36-47.xlsx,NH2,468,1805,CCOC(=O)C1=CC=C(C=C1)I,468,1805
51934-41-9,1.641,100,DCM,400,70/30,10,2024-11-30_18-42-19.xlsx,NH2,455,2265,CCOC(=O)C1=CC=C(C=C1)I,455,2265
51934-41-9,1.641,100,DCM,400,60/40,10,2024-11-30_19-12-53.xlsx,NH2,347,11469,CCOC(=O)C1=CC=C(C=C1)I,347,11469
51934-41-9,1.641,100,DCM,400,50/50,10,2024-11-30_19-29-34.xlsx,NH2,400,7926,CCOC(=O)C1=CC=C(C=C1)I,400,7926
214360-73-3,1.05,100,DCM,400,90/10,10,2024-11-30_19-39-39.xlsx,NH2,48,1189,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,48,1189
214360-73-3,1.05,100,DCM,400,80/20,10,2024-11-30_19-43-41.xlsx,NH2,480,1356,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,480,1356
214360-73-3,1.05,100,DCM,400,70/30,10,2024-11-30_19-48-28.xlsx,NH2,471,1805,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,471,1805
214360-73-3,1.05,100,DCM,400,60/40,10,2024-11-30_19-52-30.xlsx,NH2,456,1356,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,456,1356
214360-73-3,1.05,100,DCM,400,50/50,10,2024-11-30_20-00-28.xlsx,NH2,406,3736,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,406,3736
134-20-3,1.168,100,DCM,400,90/10,10,2024-11-30_20-18-22.xlsx,NH2,279,1110,COC(=O)C1=CC=CC=C1N,279,1110
134-20-3,1.168,100,DCM,400,80/20,10,2024-11-30_20-22-13.xlsx,NH2,477,1255,COC(=O)C1=CC=CC=C1N,477,1255
134-20-3,1.168,100,DCM,400,70/30,10,2024-11-30_20-26-55.xlsx,NH2,470,1770,COC(=O)C1=CC=CC=C1N,470,1770
134-20-3,1.168,100,DCM,400,60/40,10,2024-11-30_20-30-42.xlsx,NH2,447,1230,COC(=O)C1=CC=CC=C1N,447,1230
134-20-3,1.168,100,DCM,400,50/50,10,2024-11-30_20-35-19.xlsx,NH2,437,1721,COC(=O)C1=CC=CC=C1N,437,1721
535-11-5,1.394,100,DCM,400,90/10,10,2024-11-30_20-48-14.xlsx,NH2,312,650,CCOC(=O)C(C)Br,312,650
535-11-5,1.394,100,DCM,400,80/20,10,2024-11-30_20-51-20.xlsx,NH2,504,836,CCOC(=O)C(C)Br,504,836
535-11-5,1.394,100,DCM,400,70/30,10,2024-11-30_20-54-32.xlsx,NH2,492,879,CCOC(=O)C(C)Br,492,879
535-11-5,1.394,100,DCM,400,60/40,10,2024-11-30_21-06-14.xlsx,NH2,246,941,CCOC(=O)C(C)Br,246,941
535-11-5,1.394,100,DCM,400,50/50,10,2024-11-30_21-09-41.xlsx,NH2,419,1016,CCOC(=O)C(C)Br,419,1016
122-00-9,1.004,100,DCM,400,90/10,10,2024-11-30_21-14-02.xlsx,NH2,272,1025,CC1=CC=C(C=C1)C(=O)C,272,1025
122-00-9,1.004,100,DCM,400,80/20,10,2024-11-30_21-18-04.xlsx,NH2,429,1384,CC1=CC=C(C=C1)C(=O)C,429,1384
122-00-9,1.004,100,DCM,400,70/30,10,2024-11-30_21-23-47.xlsx,NH2,464,2369,CC1=CC=C(C=C1)C(=O)C,464,2369
122-00-9,1.004,100,DCM,400,60/40,10,2024-11-30_21-28-41.xlsx,NH2,449,1883,CC1=CC=C(C=C1)C(=O)C,449,1883
122-00-9,1.004,100,DCM,400,50/50,10,2024-11-30_21-42-11.xlsx,NH2,203,2215,CC1=CC=C(C=C1)C(=O)C,203,2215
119-36-8,1.174,100,DCM,400,90/10,10,2024-12-01_10-41-36.xlsx,NH2,318,759,COC(=O)C1=CC=CC=C1O,318,759
119-36-8,1.174,100,DCM,400,80/20,10,2024-12-01_10-46-20.xlsx,NH2,488,1757,COC(=O)C1=CC=CC=C1O,488,1757
